GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A0H2ZFV1	rlpA	located_in	GO:0009279	cell outer membrane	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002437150	208963	TreeGrafter		C
UniProtKB	A0A0H2ZI93	cntO	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR010105|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN002427902	208963	UniProt		C
UniProtKB	A0A0H2ZJS4	tas1	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	208963	UniProt		C
UniProtKB	A0A0H3K686	spa	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A0A0H3K6A3	ssl4	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR006123|InterPro:IPR006126|InterPro:IPR016091|UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A0A0H3K6J4	lytM	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A0A0H3K6X4	selX	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR006123|InterPro:IPR016091|UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A0A0H3K6Z6	ssl5	located_in	GO:0005576	extracellular region	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006123|InterPro:IPR006126|InterPro:IPR016091	426430	InterPro		C
UniProtKB	A0A0H3K6Z8	ssl7	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR006123|InterPro:IPR006126|InterPro:IPR016091|UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A0A0H3K6Z9	ssl10	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR006123|InterPro:IPR006126|InterPro:IPR016091|UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A0A0H3K7M3	ssl13	located_in	GO:0005576	extracellular region	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006123|InterPro:IPR006126|InterPro:IPR016091	426430	InterPro		C
UniProtKB	A0A0H3K9F2	ptpA	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A0A0H3KAV3	ssl1	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR006123|InterPro:IPR016091|UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A0A0H3KDT7	essD	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A0A0H3KEE1	ssl3	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR006123|InterPro:IPR006126|InterPro:IPR016091|UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A0A0H3KEE7	ssl11	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR006123|InterPro:IPR006126|InterPro:IPR016091|UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A0A0H3KHN8	sea	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR006123|InterPro:IPR006126|InterPro:IPR016091|UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A0A5R8T042	bla	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	941280	UniProt		C
UniProtKB	A1A7A3	lptD	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR020889|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN000766229|UniRule:UR000052468	405955	UniProt		C
UniProtKB	A1A7M1	bamA	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000053569	405955	UniProt		C
UniProtKB	A1A7M1	bamA	part_of	GO:1990063	Bam protein complex	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN000302082	405955	TreeGrafter		C
UniProtKB	A1A7X6	ecpA	located_in	GO:0009289	pilus	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0281|UniProtKB-SubCell:SL-0113	405955	UniProt		C
UniProtKB	A1A8R6	lptE	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN002211335|UniRule:UR000068665	405955	UniProt		C
UniProtKB	A1A9X5	flgI	located_in	GO:0009288	bacterial-type flagellum	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0975	405955	UniProt		C
UniProtKB	A1A9X5	flgI	located_in	GO:0009425	bacterial-type flagellum basal body	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0142	405955	UniProt		C
UniProtKB	A1A9X5	flgI	located_in	GO:0009428	bacterial-type flagellum basal body, distal rod, P ring	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001782	405955	InterPro		C
UniProtKB	A1AAB6	emtA	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR023946|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000050405	405955	UniProt		C
UniProtKB	A1AC86	fliE	located_in	GO:0009288	bacterial-type flagellum	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR001624|UniProtKB-KW:KW-0975	405955	UniProt		C
UniProtKB	A1AC86	fliE	located_in	GO:0009425	bacterial-type flagellum basal body	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0142	405955	UniProt		C
UniProtKB	A1AE89	mltF	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN001856310|UniRule:UR000165753	405955	UniProt		C
UniProtKB	A1AEW7	eno	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	405955	UniProt		C
UniProtKB	A1AFE9	mltC	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR023664|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000057587	405955	UniProt		C
UniProtKB	A1AGA9	mtgA	located_in	GO:0009274	peptidoglycan-based cell wall	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011812	405955	InterPro		C
UniProtKB	A1AHQ2	bglH	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN002215171	405955	UniProt		C
UniProtKB	A1AIE8	btuB	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN000763916|UniRule:UR000079051	405955	UniProt		C
UniProtKB	A1AIL4	lamB	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR023738|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN002215172|UniRule:UR000101733	405955	UniProt		C
UniProtKB	A6M9B7	wclY	located_in	GO:0009276	Gram-negative-bacterium-type cell wall	ECO:0000315	IMP	PMID:21968437		562	UniProt		C
UniProtKB	A6M9B7	wclY	located_in	GO:0009276	Gram-negative-bacterium-type cell wall	ECO:0000314	IDA	PMID:32421169		562	UniProt		C
UniProtKB	A6QF85	eno	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A6QG30	isdB	located_in	GO:0005576	extracellular region	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0964	426430	UniProt		C
UniProtKB	A6QG31	isdA	located_in	GO:0005576	extracellular region	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0964	426430	UniProt		C
UniProtKB	A6QG32	isdC	located_in	GO:0005576	extracellular region	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0964	426430	UniProt		C
UniProtKB	A6QG32	isdC	located_in	GO:0009274	peptidoglycan-based cell wall	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR019909	426430	InterPro		C
UniProtKB	A6QG57	flr	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A6QG59	fib	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A6QG59	fib	located_in	GO:0005615	extracellular space	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR021033	426430	InterPro		C
UniProtKB	A6QHZ1	splF	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A6QHZ2	splE	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A6QHZ3	splD	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A6QHZ4	splC	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A6QHZ5	splB	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A6QHZ6	splA	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A6QIG6	scn	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A6QIG7	chp	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A6QIT9	sceD	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A6QJQ7	sbi	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A6QK59	isaA	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	426430	UniProt		C
UniProtKB	A6V102	mltF	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN002330643|UniRule:UR000165753	381754	UniProt		C
UniProtKB	A6V1F3	eno	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	381754	UniProt		C
UniProtKB	A6V3A1	nqrE	located_in	GO:0009276	Gram-negative-bacterium-type cell wall	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010967	381754	InterPro		C
UniProtKB	A6V990	fliE	located_in	GO:0009288	bacterial-type flagellum	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR001624|UniProtKB-KW:KW-0975	381754	UniProt		C
UniProtKB	A6V990	fliE	located_in	GO:0009425	bacterial-type flagellum basal body	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0142	381754	UniProt		C
UniProtKB	A6V9B1	flgI	located_in	GO:0009288	bacterial-type flagellum	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0975	381754	UniProt		C
UniProtKB	A6V9B1	flgI	located_in	GO:0009425	bacterial-type flagellum basal body	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0142	381754	UniProt		C
UniProtKB	A6V9B1	flgI	located_in	GO:0009428	bacterial-type flagellum basal body, distal rod, P ring	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001782	381754	InterPro		C
UniProtKB	A6V9B2	flgH	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000059593	381754	UniProt		C
UniProtKB	A6V9B2	flgH	located_in	GO:0009288	bacterial-type flagellum	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0975	381754	UniProt		C
UniProtKB	A6V9B2	flgH	located_in	GO:0009425	bacterial-type flagellum basal body	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0142	381754	UniProt		C
UniProtKB	A6V9B2	flgH	located_in	GO:0009427	bacterial-type flagellum basal body, distal rod, L ring	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000527	381754	InterPro		C
UniProtKB	A6VC64	lolB	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR004565|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000058551	381754	UniProt		C
UniProtKB	A7ZHR7	bamA	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000053569	331111	UniProt		C
UniProtKB	A7ZHR7	bamA	part_of	GO:1990063	Bam protein complex	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN000302082	331111	TreeGrafter		C
UniProtKB	A7ZI27	ecpA	located_in	GO:0009289	pilus	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0281|UniProtKB-SubCell:SL-0113	331111	UniProt		C
UniProtKB	A7ZJ30	lptE	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN002211335|UniRule:UR000068665	331111	UniProt		C
UniProtKB	A7ZKI4	flgH	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000059593	331111	UniProt		C
UniProtKB	A7ZKI4	flgH	located_in	GO:0009288	bacterial-type flagellum	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0975	331111	UniProt		C
UniProtKB	A7ZKI4	flgH	located_in	GO:0009425	bacterial-type flagellum basal body	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0142	331111	UniProt		C
UniProtKB	A7ZKI4	flgH	located_in	GO:0009427	bacterial-type flagellum basal body, distal rod, L ring	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000527	331111	InterPro		C
UniProtKB	A7ZKI5	flgI	located_in	GO:0009288	bacterial-type flagellum	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0975	331111	UniProt		C
UniProtKB	A7ZKI5	flgI	located_in	GO:0009425	bacterial-type flagellum basal body	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0142	331111	UniProt		C
UniProtKB	A7ZKI5	flgI	located_in	GO:0009428	bacterial-type flagellum basal body, distal rod, P ring	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001782	331111	InterPro		C
UniProtKB	A7ZKY3	lolB	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR004565|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000058551	331111	UniProt		C
UniProtKB	A7ZN60	fliE	located_in	GO:0009288	bacterial-type flagellum	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR001624|UniProtKB-KW:KW-0975	331111	UniProt		C
UniProtKB	A7ZN60	fliE	located_in	GO:0009425	bacterial-type flagellum basal body	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0142	331111	UniProt		C
UniProtKB	A7ZQ01	mltF	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN001856310|UniRule:UR000165753	331111	UniProt		C
UniProtKB	A7ZQM2	eno	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	331111	UniProt		C
UniProtKB	A7ZR89	mltC	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR023664|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000057587	331111	UniProt		C
UniProtKB	A7ZSA7	mtgA	located_in	GO:0009274	peptidoglycan-based cell wall	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011812	331111	InterPro		C
UniProtKB	A7ZTS5	bglH	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN002215171	331111	UniProt		C
UniProtKB	A7ZUI6	btuB	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN000763916|UniRule:UR000079051	331111	UniProt		C
UniProtKB	A7ZUQ8	lamB	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR023738|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN002215172|UniRule:UR000101733	331111	UniProt		C
UniProtKB	A7ZWC3	bamA	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000053569	331112	UniProt		C
UniProtKB	A7ZWC3	bamA	part_of	GO:1990063	Bam protein complex	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN000302082	331112	TreeGrafter		C
UniProtKB	A7ZXR7	lptE	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN002211335|UniRule:UR000068665	331112	UniProt		C
UniProtKB	A7ZZ37	flgH	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000059593	331112	UniProt		C
UniProtKB	A7ZZ37	flgH	located_in	GO:0009288	bacterial-type flagellum	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0975	331112	UniProt		C
UniProtKB	A7ZZ37	flgH	located_in	GO:0009425	bacterial-type flagellum basal body	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0142	331112	UniProt		C
UniProtKB	A7ZZ37	flgH	located_in	GO:0009427	bacterial-type flagellum basal body, distal rod, L ring	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000527	331112	InterPro		C
UniProtKB	A7ZZ38	flgI	located_in	GO:0009288	bacterial-type flagellum	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0975	331112	UniProt		C
UniProtKB	A7ZZ38	flgI	located_in	GO:0009425	bacterial-type flagellum basal body	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0142	331112	UniProt		C
UniProtKB	A7ZZ38	flgI	located_in	GO:0009428	bacterial-type flagellum basal body, distal rod, P ring	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001782	331112	InterPro		C
UniProtKB	A7ZZE5	lolB	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR004565|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000058551	331112	UniProt		C
UniProtKB	A8A1D9	fliE	located_in	GO:0009288	bacterial-type flagellum	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR001624|UniProtKB-KW:KW-0975	331112	UniProt		C
UniProtKB	A8A1D9	fliE	located_in	GO:0009425	bacterial-type flagellum basal body	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0142	331112	UniProt		C
UniProtKB	A8A366	mltF	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN001856310|UniRule:UR000165753	331112	UniProt		C
UniProtKB	A8A3R4	eno	located_in	GO:0005576	extracellular region	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0964|UniProtKB-SubCell:SL-0243	331112	UniProt		C
UniProtKB	A8A4A6	mltC	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR023664|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000057587	331112	UniProt		C
UniProtKB	A8A523	mtgA	located_in	GO:0009274	peptidoglycan-based cell wall	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011812	331112	InterPro		C
UniProtKB	A8A6I1	bglH	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN002215171	331112	UniProt		C
UniProtKB	A8A774	btuB	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN000763916|UniRule:UR000079051	331112	UniProt		C
UniProtKB	A8A7D6	lamB	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR023738|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN002215172|UniRule:UR000101733	331112	UniProt		C
UniProtKB	B1LDH3	mltC	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR023664|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000057587	439855	UniProt		C
UniProtKB	B1LGH4	mtgA	located_in	GO:0009274	peptidoglycan-based cell wall	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011812	439855	InterPro		C
UniProtKB	B1LGX9	bamA	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000053569	439855	UniProt		C
UniProtKB	B1LGX9	bamA	part_of	GO:1990063	Bam protein complex	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN000302082	439855	TreeGrafter		C
UniProtKB	B1LH91	lolB	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR004565|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000058551	439855	UniProt		C
UniProtKB	B1LHV9	ecpA	located_in	GO:0009289	pilus	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0281|UniProtKB-SubCell:SL-0113	439855	UniProt		C
UniProtKB	B1LHX3	emtA	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR023946|UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|UniRule:UR000050405	439855	UniProt		C
UniProtKB	B1LL90	lptE	located_in	GO:0009279	cell outer membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-KW:KW-0998|UniProtKB-SubCell:SL-0040|PANTHER:PTN002211335|UniRule:UR000068665	439855	UniProt		C
